Number,Topic,Comment,Document Detail (URL),Highlighting
17,7,"Unprecedented numbers"" BATS been killed by wind turbines. United Nations has designated 2011-2012 the International Year of the Bat. . Bats play an important role in many environments around the world. Some plants depend partly or wholly on bats to pollinate their flowers or spread their seeds, while other bats also help control pests by eating insects. 
Recent research determined that free-tails are so effective that they save south-central Texas farmers up to $1.7 million a year in pesticide costs, the BCI reports. Mexican free-tailed bat, common in Texas, will reach an altitude of 1,000 feet to snare crop-destroying corn earworm mothsThe corn earworm moth (or more specifically, the moths' larvae) cause major damage to U.S. corn crops. Researchers from Southern Illinois University (SIU) wanted to find out what happens when bats aren't allowed to feed freely on the moths, so they built large outdoor enclosures over cornfields in Southern Illinois. The enclosures were covered in nets that let insects in but kept bats out. The corn grown within the enclosures had significantly more larvae-damaged kernels - by 56 percent - and less fungal damage. The researchers noted that bats ""suppress pest-associated fungal growth and mycotoxin in corn"" as well as increased crop yield by 1.4 percent, which adds up to a difference of more than $3 an acre. study found that bats save farmers more than $1 billion worldwide - and that's only for corn crops. The estimate also doesn't factor in other benefits that bats provide, such as a reduction in pesticide use. Study author Josiah Maine told BBC News: In 2011, University of Tennessee at Knoxville researchers also analyzed the economic importance of bats in agriculture. 
Department of Ecology and Evolutionary Biology at the University of Tennessee, Knoxville These estimates include the reduced costs of pesticide applications that are not needed to suppress the insects consumed by bats. bats help pollinate and disperse seeds, they can even play an important part in helping regrowth after forest clearance. Without bats, crop yields are affected. Pesticide applications go up. Even if our estimates were quartered, they clearly show how bats have enormous potential to influence the economics of agriculture and forestry."" While some bats provide pest control, nectar-feeding pats act as beneficial pollinators. Giant cacti and agave are just two types of plants that depend on bats for pollination, and in the tropics over 500 different types of tropical plants are pollinated by bats every year. Fruit-eating bats are sometimes called the farmers of the tropics because they are incredibly efficient at dispersing seeds. They're especially essential to regenerating clear-cut forests, which requires seeds to be dropped over large, open spaces - areas where birds are reluctant to fly. Bats cover large distances while feeding at night and defecate while flying, which means the seeds in their feces are scattered across the vast open expanses of clear-cut rainforests they can add still more, different seeds to the mix that can lead eventually to a renewed forest. Bats have been reported dispersing the seeds of avocado, dates, figs, and cashews - vital part of a healthy eco-system, bats are beneficial mammals that contribute greatly to their surrounding ecosystems, and they deserve respect to go along with it. Bats devour tons of crop-destroying insects, a benefit that undeniably helps farmers get food to our tables. They also feed on mosquitoes, which is why I'm cheering for bats to occupy the bat houses I've put up in my yard. Bats fly at speeds of around 60 mph and sometimes at an altitude of 10,000 feet. Stop the Wind Turbines from Killing the BATS. ",https://www.regulations.gov/document?D=FWS-HQ-ES-2015-0165-0172,"the <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: yellow"">quick</span> <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: yellow"">fox</span> <span style=""background-color: #9999ff"">jumped</span> over the <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">dog</span><i></i>"
18,8,"California catastrophic wildfire on forests directly and negatively impact lives and property and long and short term health effects of greenhouse gas over many states, which can hang in air for months, then end up in our waters ,lakes , and rivers causing additional harm. Wildfires can pump as much carbon dioxide into the atmosphere in just a few weeks as cars do in those areas in an entire year, a study suggests . Smoke is a complex mixture of carbon dioxide, water vapor, carbon monoxide, particulate matter, hydrocarbons and other organic chemicals, nitrogen oxides, and trace minerals. The individual compounds present in smoke number in the thousands. Particulate matter is the principal pollutant of concern from wildfire smoke. these particles are within the fine particle PM2.5 fraction and can be inhaled into the deepest recesses of the lung and may represent a greater health concern than larger particles. Another pollutant of concern during smoke events is carbon monoxide, which is a colorless, odorless gas produced by incomplete combustion of wood or other organic materials. ... Flawed climate change and carbon tax has left out the Co2 from wildfires which is major causes to earth Ozone, not gas and oil industry, or mining, or factories .. Wildfire gaseous pollutants are precursors for ozone (O3) production.
Improvement of forest health and ecological functions are vital to maintain watersheds and fish and wildlife habitat on lands that may be subject to wildfires, we live with the consequences of our in actions. Agencies need to review or change or appeal forest rules that are subject to NEPA and ESA and other federal regulations. Agency need to review update or repeal The law guiding Federal, State Forest , BIA and tribal management of forests. Need to update or repeal the Equal Access to Justice Act (EAJA) of 1980 , subsection of EAJA, codified at 28 U.S.C. 2412(d) section 2412(b). The National Indian Forest Resource Management Act of 1990 (PL 101-630, Title III), is the most recent for greater federal forest management and, The Indian Self-Determination Act (PL 93-638 ). supports the ""Resilient Federal Forests Act"" (H.R.2936), more to reduce the threat of wildfire. Section 701 of H.R. 2936 improves the Tribal Forest Protection Act (TFPA). The TFPA, authorized by Congress 13 years ago, authorized the Forest Service and BLM to enter into agreements or contracts with tribes to address risks and threats originating on nearby Forest Service and BLM administered lands. the TFPA has not met expectations on the ground. Since 2004, only a handful of TFPA projects have been effectively implemented on Forest Service lands. One project proposed by the Tule River Tribe took over ten years to navigate the Forest Service's environmental review process. providing timelines for review, approval and implementation of old growth projects on federal land. litigious environmental activist , and a lack of sufficient agency focus on this challenge has led to million acres in California to get out of control. These areas of let it burn policy of past administration is high risk of deadly and catastrophic forest fires that endanger communities, hurt local economies, destroy land and water quality and release massive amounts of emissions into the atmosphere. the causes of catastrophic wildfire are complex of old trees, dead bushes, etc, the status quo of inaction has exacerbated present forest conditions, which now present a great risk to both communities and the environment. Stop the environmental activist that are preventing forest service and BLM from doing their jobs. 
Direct and comprehensive management of our forests must be revised.Must understand that a ""let it burn"" approach is not acceptable given the forest health conditions found across our nation's landscape. Instead we are need effectively responding to and reversing unnatural conditions in the forest, also respond to fires more effectively before they start by cleaning old growth allowing more timber sales. If forests are devastated by wildfire, we lose revenue and jobs, a myriad of ecological benefits we rely upon from our forests, and the traditional and cultural sustenance our forests have provided since time immemorial. Wild Fires create a toxic health risk to humans and wildlife. While the comparison is not completely equivalent, the average size of a fire on BIA-managed lands is one-third the size of fires on Forest Service land. Fire fuels in forest need weekly or monthly inspection team to respond to old growth to stop fires from damaging economic value and rehabilitate landscapes. Fires once start can come at a devastating financial and ecological cost. Rehabilitation costs are generally equal to the suppression cost, but can be as much as three times higher. We can help move the country forward to create a healthier, sustainable future for our forests and natural resources.",https://www.regulations.gov/document?D=FWS-HQ-ES-2015-0165-0221,"<span style=""background-color: #9999ff"">brown</span> <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: yellow"">fox</span><i></i>"
19,9,"REPEAL CARBON TRADING SAVE BILLIONS FOR AMERICAN TAX PAYERS, August 4, 2015 Senate Committee on Environment and Public Works, OBAMA'S CARBON MANDATE: 73 PAGE reported Obama White House hired a number of individuals to work on climate rules who were part of the green revolving door. Environmental activist groups like NRDC are integral to green litigation and lobbying machine, while simultaneously serving as close allies and partners with the Obama EPA to advance a shared mission. June 25, 2013, Obama announced a plan to have the U.S EPA or Agency issue rules under section 111 of the Clean Air Act to cut greenhouse gas emissions. Committee's oversight into these rules and role NRDC played in developing the proposed rules, which rebuts much of the Obama Administration's narrative about how these rules were developed. Report documents previously unknown details about relationship between EPA and environmental activist groups and ""sue-and-settle"" process that led to these rules. 2015, EPA released its final rules regulating carbon emissions from power plants. EPA efforts to regulate carbon emissions from power plants were driven by Obama Administration officials and ENVIRONMENTAL ACTIVIST groups who worked to fulfill Obama climate commitments pages 15-17, 29, 50,56. EPA rushed into a ""sue-and-settle"" agreement with Natural Resources Defense Council, other environmental activists, and several state and local governments in 2010 to issue unprecedented carbon regulations with LITTLE REGARD to the technical, legal, and policy challenges that rules would present. pages 14-19, 21, 26, 30-39, 45-48, 56,61. EPA played politics with regulatory process by trying to manipulate rulemaking deadlines to avoid a public backlash close to 2012 Presidential and 2014 midterm elections, and to push implementation to next Administration, pages 16, 17, 31-34, 40-49, 55,64. The carbon rules were the product of quintessential ""sue-and-settle"" scheme where EPA and environmental activists, such as NRDC, continued to negotiate BEHIND CLOSED DOORS, changing regulatory actions and deadlines without providing the public meaningful notice or opportunity to comment. pages 17-19, 24, 26, 31,40-45 Obama EPA officials repeatedly MISLED the American people, news media, and Congress about negotiations with environmental activists and contribution made by these activists to development of carbon rules. pages 4-6,43, 47, 48, 54, 62-64,67. The White House, EPA, and environmental activists worked together to manage the public message on the carbon rules. pages 28-29, 33-35, 39, 46, 47, 50-51, 54,68. The litigation settlement provided environmental activists significant leverage to drive timing of EPA's rulemaking and to influence scope of its policies.pages 30-32, 35, 40-46, 67 EPA's process for developing the carbon rules appears to have DEVIATED FROM THE AGENCY STATUTORY AUTHORITY under the Clean Air Act and established policies and circumvented transparency laws and public participation requirements. pages 22, 23, 28, 32, 43, 48-49, 62-64. NRDC and other environmental activist groups have worked with EPA to shore up the shaky basis for carbon rules, issuing public statements criticizing opponents of rule and submitting detailed legal analyses for EPA to rely on and cite in its rulemaking documents. pages 59-68 . EPA and environmental activists had cozy relationships and egregiously used personal emails and held meetings away from EPA headquarters, thereby avoiding public transparency. pages 20, 22, 25, 28, 39, 43, 48,54-56. In addition to detailing overt ""sue-and-settle"" tactics, Report reveals how environmental activist groups including Natural Resources Defense Council (NRDC), and EPA INAPPROPRIATELY coordinated a public message on climate. The Administration went out of its way to mislead the American public about the timing and scope of these rules, stating repeatedly that it had ""no plans"" to regulate existing power plants even though it had been working behind scenes with its environmental allies to do it. Only after his reelection did Obama intervene to set in motion EPA action that would fulfill his original climate campaign promises before leaving office. Environmentalists proved to be big cheerleaders for Obama and EPA, but groups such as NRDC were basically an extension of the Agency, providing policy advice, data and modeling, legal counsel. See full report on Congress web. Repeal the regulation and stop Carbon Trading which is hurting American Business. END OR REPEAL THE independent Consumer Financial Protection Bureau created by Dodd-Frank, the concern goes well beyond lack of regulatory review : there exists a fundamental lack of accountability, repeal Dodd-Frank, review and cancel Carbon rules on commodities trading exchange.",https://www.regulations.gov/document?D=FWS-HQ-ES-2015-0165-0154,"the <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">jump</span> <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: yellow"">fox</span><i></i>"
20,10,"According to data made available since the beginning of the Obama Administration, federal and state expenditures have continued to rise steadily, totaling $6.2 billion between Fiscal Years 2009 and 2012. These costs do not include the soaring direct and indirect costs on local governments and the private sector. Another recent, egregious example is the FWS's handling of the endangered Desert Tortoise, some of which were housed in a $1 million budgeted conservation center at the southern edge of Las Vegas Valley in Nevada. Though the tortoise has been ESA-listed since 1990, when available funds to operate the conservation reserve center decreased, the FWS began plans to actually kill hundreds of tortoises rather than finding other protection methods. ""It's the lesser of two evils, but it's still evil,"" said the FWS program recovery coordinator. 
 FWS has taken position that it is not required to act on delisting of a species unless and until an ""interested party"" petitions for action and then follows up with a lawsuit. Because most citizens do not desire or are not in a position to file petitions or lawsuits against the federal government, many species continue to be listed under ESA even when it may not be necessary.
Two Utah counties and private landowners have been unable to control an influx of prairie dogs that have destroyed private lands because the FWS only counts prairie dogs found on public lands, not private lands, for recovery purposes. This interpretation has cost one rural electric cooperative over $150,000 to airlift transmission poles around federal lands that have been designated for Utah prairie dogs, despite private landowners being able to obtain permits to kill them on nearby lands.
 Agencies are faced with a no-win situation; they are overwhelmed by environmental activists with hundreds of candidate listings that agency cannot possibly respond to in statutory timeline specified; they then find themselves in violation of that statute and subsequently sued by these same groups who filed to protect the species. These activists create the problem by purposely overwhelming the agency, knowing that they will be unable to respond and then dictate an outcome because the agency settles rather than being able to follow the appropriate proves, including the study of scientific evidence. Listing a species without adequate scientific data, just to settle a lawsuit is capricious.
 The ESA has existed for over 40 years, with less than 2% of species removed from the ESA list in 40 years. Federal government could recover and delist three dozen species with the resources they spend responding to litigation. only 94 listed species out of the total 2,097 listed species are in the ocean, ""a historic imbalance needs to be righted to ""stem the extinction crisis in the world's oceans. ESA has not been updated by Congress in over a quarter century. 
Time to change, Concerns have been raised that ESA does not ensure that economic impacts are fairly quantified at time of listing, despite at least one circuit court of appeals mandate to this effect. . critical habitat designations have been ""fish in the barrel litigation for folks. ESA are unable to make basic and legitimate data used for listings and critical habitat available to the public.
ESA litigation has also increased federal government's inability to control catastrophic wildfires. Four federal land management agencies (the U.S. Forest Service, Bureau of Land Management, National Park Service, and the FWS) are responsible for managing over 600 million acres of land or nearly one-third of the United States. Decades of failed federal forest management have created unhealthy and overstocked forests, placing 73 million acres of National Forest lands and 397 million acres of forest land nationwide at risk of severe wildfire. Fires are destroying species habitat and ESA itself is creating obstacles that are counter-productive to fighting wildfires, including use of heavily mechanized equipment, use of aerial retardant and restricted use of water due to concerns about potential impacts to other ESA-listed species, such as spruce goose, salmon and others. State and tribal lands adjoining federal forest lands are increasingly at risk of wildfires partly because of ESA. Forest Service's self-described ""analysis paralysis,"" excessive appeals on timber sales, ESA-related litigation, statutory and administrative land designations (such as wilderness, roadless areas and critical habitat) all serve to delay or outright block management activities necessary to reduce hazardous fuels and improve forest health and habitat. Over the past fiscal years alone, 26 lawsuits, notices of lawsuits, and appeals were filed in the Idaho and Montana region of the U.S. Forest Service to block timber thinning and other vegetation management in areas at high risk of wildfire. ESA puts the needs of species over people when describing the impact it had on farmers and workers.",https://www.regulations.gov/document?D=FWS-HQ-ES-2015-0165-0270,"the <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: yellow"">fox</span> <span style=""background-color: yellow"">quick</span> <span style=""background-color: yellow"">fox</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: yellow"">lazy</span><i></i>"
21,1,"Either there should be no changes to the mitigation policy, or it should focus on net gain. At a time of increasing loss of habitat and severe neglect of federal lands, we should work on making public lands better than they are now.",https://www.regulations.gov/document?D=FWS-HQ-ES-2015-0165-0283,"the <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: yellow"">quick</span> <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: yellow"">fox</span> <span style=""background-color: #9999ff"">jumped</span> over the <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">dog</span><i></i>"
22,2,"

Past administration with environmental activist hoax of man-made global warming designed a paradigm for false science and its dependence on fear based support may not constitute exploitation per se, but it does serve to make the system particularly vulnerable to dishonesty. Extraordinarily shallow basis for the commitment to climate catastrophe, and the widespread tendency of scientists to use unscientific means to arouse the public's concerns, is becoming increasingly evident, and the result is a reversal of the trust that arose from the triumphs of science and technology in the 1940s. Only thing climate change was envisioned ; to put American companies out of business and American workers in the unemployment line, by depressing economic output, keep companies from creating jobs and drive billions of American dollars out of the country. Climate change would ultimately have little effect on our environment. At a time when American companies are already successfully reducing their carbon emissions, we don't need another government regulation restricting our economy's ability to grow. Changes in the structure of scientific activity over the past half century have led to extreme vulnerability to political manipulation. In the case of climate change, these vulnerabilities have been exploited to a remarkable extent. 

The dangers that situation poses for both science and society are too numerous to be discussed in any sort of adequate way but It should be stressed that the climate change issue, itself, constitutes a major example of the dangers intrinsic to the structural changes in science. There is little question that global warming has been exploited many governments and corporations heavily promoting global warming alarm, and relying on the advice they pick for their own purposes, but it is clear extent such exploitation has played an initiating role in the issue. The developing world has come to realize that the proposed measures endanger their legitimate hopes to escape poverty, and, in the case of India, they had, encouragingly, led to an assessment of climate issues independent of the 'official' wisdom. Concerns that specific dangers pertaining to speculation about climate change which we are already seeing that the tentative policy moves associated with 'climate mitigation' are contributing to deforestation, food riots, industry closing, tax payer money going to unanticipated nations or companies, potential trade wars, inflation, technology speculation and overt corruption . Reliance by the scientific community on fear as a basis for support, may, indeed, have severely degraded the ability of science to usefully address problems that need addressing. Although society is undoubtedly aware of the imperfections of science, it has rarely encountered a situation such as the current global warming hysteria where institutional science has so thoroughly committed itself to policies which call for massive sacrifices in well being world wide. 

Example of a bad policy takes money from one nations to the benefit of another : An economist from India and long term UN bureaucrat in the IPCC had urged westerners to reduce meat consumption in order to save the earth from destruction by global warming. We have the new paradigm where simulation and programs have replaced theory and observation, where government largely determines the nature of scientific activity, and where the primary role of professional societies is the lobbying of the government for special advantage.

The current support mechanisms for science is one where the solution of a scientific problem is rewarded by ending support. This hardly encourages the solution of problems or the search for actual answers. Nor does it encourage meaningfully testing hypotheses. The alternative calls for a measure of societal trust, patience, and commitment to elitism that hardly seems consonant with the contemporary attitudes. It may, however, be possible to make a significant beginning by removing the funding for regulations. 

Change in scientific culture has played an important role in making science more vulnerable to exploitation by nations and politics, the resolution of specific issues may be possible without explicitly addressing the structural problems in science. In the US, where global warming has become enmeshed in partisan politics, there is a natural opposition to exploitation which is not specifically based on science itself. The restoration of the traditional scientific paradigm will call for more serious efforts. Such changes are unlikely to come from any fiat. Nor is it likely to be implemented by the large science bureaucracies that have helped create the problem in the first place.










--------------------------------------------------------------------------------

 
 
  
 


 
Comment Period Closed

Jan 5 2018, at 11:59 PM ET



ID: FWS-HQ-ES-2015-0165-0248

Tracking Number: 1k1-90hu-dw4y



PDF
.





.

--------------------------------------------------------------------------------

Document Information


Date Posted:Dec 22, 2017

RIN:1018-BB72
Show More Details  

--------------------------------------------------------------------------------

Submitter Information


Submitter Name: ",https://www.regulations.gov/document?D=FWS-HQ-ES-2015-0165-0248,"<span style=""background-color: #9999ff"">brown</span> <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: yellow"">fox</span><i></i>"
23,3,"By resending and repealing many of the past administration rules and regulation on oil and gas and mining in the USA will see increase in GDP resulting from shale development and increased federal tax revenues for the 2018 budget, and it will continue to do so. Estimates that federal tax revenues will be in the billions higher in 2020 , and even higher in 2040 with the development of exporting LNG . Shale production also contributes to federal receipts through payments that the developers of federally owned resources make to the governmentbut that contribution can increase by reducing more Regulations that hurt American workers. Increase the shale resources on federal lands will reduce Americas need to import from nations not friendly . Working from EIA's projections of the future production of tight oil and shale gas, and also from its own forecasts of oil and natural gas prices, CBO estimates that federal royalties from shale (minus the amounts that the federal government transfers to the states) will be in the hundreds of million annually by 2020. The technological innovations behind hydraulic fracturing and horizontal drilling make existing labor and capital whether they are employed in shale development, in industries using natural gas or oil, or in industries using products derived from natural gas or oilmore productive than they otherwise would be. That heightened productivity has increased gross domestic product (GDP) and will continue to do so. The increases in GDP associated with increased productivity would spur further increases in GDP by increasing the supplies of labor and capital. As GDP rises, households have more income to save and invest; most of the additional savings are invested domestically. That investment increases the capital stock, thus increasing the economy's productive capacity and raising GDP. In addition, higher labor productivity is reflected in higher wages, which encourage people to work and lead to an increase in the number of hours worked, likewise raising GDP. The two effects reinforce each other: A larger capital stock boosts labor productivity and wages, and an increase in the number of hours worked increases saving and investment.

Higher employment resulting from shale development, along with a larger capital stock resulting from increased investment in the development and use of shale resources, will led to higher household income and thus greater demand for goods and services. Some of that increased demand will be met by the additional production from the energy-intensive industries.

Shale development also boosts GDP in other ways. The increase in GDP represents increased income, which allows people and firms to save and invest more in productive capital, and the higher productivity increases wages, raising the amount of labor available. Both the increased capital and the increased labor raise GDP for America. In addition, in the near term, shale development causes labor and capital to be used that would otherwise be idle, again raising GDP. In the longer term, shale resources, labor and capital available in the economy will be used at roughly their maximum sustainable rates without regulations, so the additional labor and capital used to produce shale resources or energy-intensive goods will be great for American Middle class.

The exploration and development of natural gas resources provides method of serving the public's need for energy. Natural gas consumption comprises approximately 23 percent of the total energy consumption in the United States. Natural gas is used for many purposes: home space and water heating; cooking; commercial and industrial space heating; commercial and industrial processes; as a raw material for the manufacture of fertilizer, plastics, and petrochemicals; as vehicle fuel; and for electric generation. The Marcellus Shale formation has attracted attention as a significant source of natural gas production. The Marcellus Shale extends from Ohio and West Virginia into Pennsylvania and New York. In New York, the Marcellus Shale is located in much of the Southern Tier and adjoining areas, stretching from Chautauqua and Erie Counties in the west to the counties of Sullivan, Ulster, Greene and Albany in the east. ",https://www.regulations.gov/document?D=FWS-HQ-ES-2015-0165-0224,"the <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">jump</span> <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: yellow"">fox</span><i></i>"
24,4,"

I am writing on behalf of Sequoia Riverlands Trust (SRT) to support the designation of accredited land trusts as entities qualified to hold mitigation real estate interests, such as conservation easements, under Section 8.3 of the proposed Endangered Species Act Compensatory Mitigation Policy.

SRT is a regional, accredited land trust that conserves habitat and farmland in California's Southern Sierra, Southern San Joaquin Valley and Carrizo Plain, including but not limited to lands set aside as compensatory mitigation for the impacts of transportation and renewable energy projects. To join the ranks of accredited land trusts, we went through a rigorous review process examining our organizational structure, leadership and finances; our policies, procedures and recordkeeping systems for land transactions; and our ability to provide lasting stewardship for the lands we conserve. Going through this process, and maintaining our accredited status by actively adhering to Land Trust Alliance Standards and Practices, has strengthened SRT as an organization, and reinforced both our commitment and our ability to conserve mitigation lands in perpetuity. We believe that the same is true of other accredited land trusts, and strongly support the designation of accredited land trusts as entities qualified to hold mitigation real estate interests.

Thank you for your time and consideration.









--------------------------------------------------------------------------------

 ",https://www.regulations.gov/document?D=FWS-HQ-ES-2015-0165-0033,"the <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: yellow"">fox</span> <span style=""background-color: yellow"">quick</span> <span style=""background-color: yellow"">fox</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: yellow"">lazy</span><i></i>"
25,5,"






The updating of the Endangered Species Act Compensatory Mitigation Policy in 2016 was an important step forward for conservation. Specifically, creating a policy that applied across FWS offices reduced regulatory burden on industry, while the updated policy of ""net gain"" protected the public's interest in conserving endangered species. The ""net gain"" policy should be retained, as it will increase the likelihood that endangered species will recover and be delisted, which is the ultimate goal of the Endangered Species Act.",https://www.regulations.gov/document?D=FWS-HQ-ES-2015-0165-0220,"the <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: yellow"">quick</span> <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: yellow"">fox</span> <span style=""background-color: #9999ff"">jumped</span> over the <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">dog</span><i></i>"
26,6,"... Forest fires may produce as much co2 as half of all fossil-fuels burned"", Wildfires can produce more greenhouse gas (GHG) emissions , newspaper report, 2007 said California wildfires pumped nearly 8 million metric tons of climate-warming carbon dioxide into the atmosphere , Another report from Scientists study estimated that Fires in US release millions metric tons of carbon dioxide per year. air pollution affects air quality in downwind states. In 2017 approx. 47,700 wildfires have burned 8 million acres across the country, with the majority of the devastation in the states of California and Montana. High-profile fires in Yosemite and Glacier National Parks have caught national headlines, however millions of acres of forest and grassland have burned in recent months. aggressive and scientific fuels reduction management to save lives, homes, and wildlife habitat, lakes and streams , and stop polluting co2 in ozone It is well settled that the steady accumulation and thickening of vegetation in areas that have historically burned at frequent intervals exacerbates fuel conditions and often leads to larger and higher-intensity fires,"" Office of Wildland Fire, said, ""It is critical to fully consider the benefits of fuels reduction in the everyday management activities that we carry out for our public land management objectives, , California needs to focused on actively managing and addressing the on-the-ground conditions, they can no longer delay the implementation of this important work."" reduce the fuel loads in our forests and rangelands avert the devastation caused by the wildfires. turn unhealthy, overgrown, and infested forests into thriving, healthy ecosystems help the Groundwater-Quality Conditions, help the air, has nothing to do with globe warming, only management of forests from damaging particles that end up in air and water of other states. why did the past administration not count wild fires in ozone rules, should resend all mining and gas and oil rules and regulations. and California needs to pay a ozone emission tax on wildfires.",https://www.regulations.gov/document?D=FWS-HQ-ES-2015-0165-0226,"<span style=""background-color: #9999ff"">brown</span> <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: yellow"">fox</span><i></i>"
27,7,"

DAMS should be built to protect the waters from pollution, protect wildlife habitat , provide resources for Farms, Help with Wildfires, Provide for the local population, EPA reported in the past that , states with so many potential sources of pollution, it is difficult and expensive for States to identify specific sources responsible for water quality impairments. Many States lack funding for monitoring to identify all but the most apparent sources degrading waterbodies. State management priorities may focus monitoring budgets on other water quality issues. Management priorities may also direct monitoring efforts to larger waterbodies and overlook sources impairing smaller waterbodies. As a result, the States do not associate every impacted waterbody with a source of impairment in their 305(b) reports. Also the BLM reported in past years, that some states have been deficient in reporting actual work performed dams , and in some cases inspections have not been performed on low hazard dams. IF states did not reporting correctly , I think we need to start fresh and rescind past rules and regulations. Let the new administration work for American taxpayers.









--------------------------------------------------------------------------------

 ",https://www.regulations.gov/document?D=FWS-HQ-ES-2015-0165-0191,"the <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">jump</span> <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: yellow"">fox</span><i></i>"
28,8,"California Environmental activist need to allow Forest service, BLM, and other agencies to do their job in fighting wildfire in the grass lands and forest by management of old growth, removing fallen trees, timber sales, cutting of bushes. Idea to encourage the state , do a California wildfire greenhouse rulemaking to reduce the interstate transport of wildfire emissions fine particulate matter (PM2.5) NAAQS . To protect public health and welfare of neighbor states by reducing interstate emission transport that significantly contributes to nonattainment, or interferes with maintenance, of the 2008 ozone NAAQS in the western U.S. Wildfire greenhouse gas causes a variety of negative effects on human health, vegetation, and ecosystems. In humans, acute and chronic exposure to ozone is associated with premature mortality and a number of morbidity effects, such as asthma exacerbation. Wildfire Ozone exposure can also negatively impact ecosystems, for example, by limiting tree growth. Studies have established that ozone occurs on a regional scale (i.e., hundreds of miles) over much of the California with elevated concentrations occurring in rural as well as metropolitan areas. To reduce this regional-scale ozone transport, assessments of ozone control approaches have concluded that NOX control strategies are effective. Further, studies have found that EGU NOX wildfire emission reductions can be effective in reducing ozone pollution. Rule would require California to prohibit emissions from wildfires that will contribute significantly to nonattainment or interfere with maintenance in any other state with respect to any primary or secondary wildfire greenhouse gas. With the primary responsibility to address interstate emission transport through the development of good neighbor State Implementation Plans (SIPs).",https://www.regulations.gov/document?D=FWS-HQ-ES-2015-0165-0219,"the <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: yellow"">fox</span> <span style=""background-color: yellow"">quick</span> <span style=""background-color: yellow"">fox</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: yellow"">lazy</span><i></i>"
